Geneid	Gr11.bam	Gr12.bam	Gr13.bam	Gr31.bam	Gr32.bam	Gr33.bam
LOC112587351	0	0	0	0	0	0
TRNAS-GCU	0	0	0	0	0	0
ZNF385D	6	14	10	36	2	68
LOC123335215	2	0	0	0	0	0
LOC123335224	0	0	0	0	0	2
LOC123332535	2	0	0	0	0	0
LOC102395814	122	103	92	494	234	775
LOC112581109	81	21	160	12	14	12
LOC123335288	0	0	0	0	0	0
LOC102395276	320	316	375	173	210	174
NKIRAS1	27	9	25	14	7	20
RPL15	2637	3415	1462	1951	1973	1884
NR1D2	321	194	292	531	264	722
THRB	40	13	4	137	88	174
LOC123327847	0	0	0	0	0	0
TRNAC-ACA	0	0	0	0	0	0
LOC112585641	0	0	0	0	1	1
LOC112585688	0	0	0	0	0	0
LOC102399924	285	268	109	124	86	180
LOC123328099	0	0	0	0	0	0
LOC123328110	0	0	0	0	0	0
LOC123328059	0	0	0	0	0	0
RARB	117	10	23	44	17	79
TRNAG-CCC	0	0	0	0	0	0
LOC123328106	6	0	0	16	0	32
TRNAG-GCC	0	0	0	0	0	0
TOP2B	2533	2010	2450	1803	1056	2559
LOC112587464	0	2	13	1	0	1
LOC112587443	0	1	1	6	6	0
LOC112587528	2	0	5	0	0	0
LOC123328124	2	0	0	0	0	0
NGLY1	631	686	598	392	410	378
LOC123328167	4	0	1	2	4	2
OXSM	46	59	17	15	10	19
LOC102402353	2	0	3	0	0	0
LOC123328257	0	4	1	0	0	0
LOC123328264	0	2	2	0	0	0
LOC123332547	0	0	0	0	0	0
LOC123332562	0	0	0	2	0	4
LRRC3B	12	12	0	20	0	51
LOC123466164	0	0	0	0	0	0
LOC102403863	67	79	59	61	76	27
PSD3	1893	2042	1895	291	108	464
LOC112578018	11	1	5	0	0	0
LOC123328560	0	0	0	2	0	2
LOC123328570	10	3	10	25	31	31
LOC102406357	12	2	8	21	10	23
LOC112581752	1	2	2	4	4	0
SH2D4A	1198	652	967	190	234	143
CSGALNACT1	17	11	6	120	89	151
LOC112587502	0	0	0	1	0	1
LOC123328684	0	0	0	4	4	0
INTS10	431	322	255	367	278	436
HGSNAT	191	96	130	501	677	301
POMK	144	118	64	96	80	116
FNTA	293	453	266	628	841	468
HOOK3	2493	1660	2594	1969	766	3030
RNF170	865	953	602	621	787	500
THAP1	178	178	122	94	86	115
CHRNA6	0	0	0	0	0	0
CHRNB3	18	0	14	0	0	0
LOC112587395	0	0	0	0	0	0
SMIM19	346	414	289	409	331	439
SLC20A2	136	132	110	481	239	703
LOC112582366	186	144	220	74	11	137
LOC112582461	50	14	70	12	2	27
VDAC3	931	1036	749	444	495	451
DKK4	3332	3553	3611	0	0	0
POLB	200	205	146	148	175	130
IKBKB	289	286	342	484	289	694
PLAT	527	214	88	1506	824	2193
TRNAW-CCA	0	0	2	2	3	2
AP3M2	12	16	4	22	18	34
KAT6A	1713	1024	1203	725	379	1198
LOC112587375	4	0	3	0	0	0
LOC102402461	116	142	43	12	4	20
NKX6-3	0	0	0	0	2	0
GPAT4	661	620	470	368	185	539
LOC123329621	0	0	1	0	0	0
GINS4	89	70	44	10	8	10
GOLGA7	880	607	627	546	763	356
