Genes	log2FoldChange	pvalue
LRP2	-10.0869383	2.62E-99
FST	-9.729887168	1.29E-82
MKI67	-6.081021866	1.28E-82
TOP2A	-6.254558606	4.26E-82
TUB	-6.206599569	2.63E-80
ESM1	-8.466966275	7.24E-80
LOC102390131	-11.43184679	5.44E-76
TC2N	6.453772605	2.27E-74
SATB2	-5.244153203	1.39E-73
LOC102412560	-12.32678126	3.48E-73
LOC102397604	-12.83065436	4.77E-71
PAG3	-11.8874342	6.32E-71
PFKFB3	6.065480934	7.43E-70
MAFF	5.864104939	9.26E-70
LOC123335034	-13.91810972	7.81E-69
PAG19	-12.1701258	5.05E-68
JUNB	5.471229918	8.30E-68
SOX9	7.254438384	2.13E-66
CTSL	-10.78251369	6.75E-65
ADRB2	7.278890733	1.07E-64
PRXL2A	-5.559418166	3.54E-64
RCC1	-5.141645562	5.16E-64
EGLN3	5.333224788	8.69E-63
RACGAP1	-5.016119333	3.77E-62
LOC102399556	-9.957667574	6.00E-62
LOC112583637	-8.766839202	1.08E-60
CCDC3	5.338322021	1.68E-60
P2RY1	-5.797317307	8.84E-58
LOC123327736	-5.747309903	3.75E-57
ACSL6	-5.991411304	2.34E-56
PLA2G7	-8.049708973	8.14E-56
PAGE4	-10.61382651	1.30E-55
PDPN	5.507502213	1.10E-54
HIC2	-4.332505057	1.45E-53
EXO5	-6.78766449	2.10E-53
GCA	-5.288415582	2.42E-53
LOC112583640	-10.29639389	2.55E-53
PLA2G15	-6.697720672	2.87E-53
GATA2	-5.003376186	2.90E-53
SH3BGRL2	-4.745737583	3.83E-53
AMOT	-4.630849717	8.04E-53
EFEMP1	9.969429661	1.17E-52
TNS4	7.883552469	1.77E-52
LOC102397875	-10.5122328	6.24E-52
SLC5A6	-4.719482253	7.24E-52
TBC1D2B	-4.019063487	1.58E-51
BTBD3	-4.266858345	3.10E-51
FKBP5	5.444253941	9.50E-51
LY6G6C	6.369955979	1.01E-50
DUSP1	4.343218453	1.62E-50
LAMA3	6.023580514	1.61E-50
RND3	4.582846746	8.34E-50
ENTPD1	-7.014826482	1.17E-49
PLBD1	-7.265036674	1.36E-48
KNL1	-6.12125979	1.94E-48
HBEGF	6.171362787	1.18E-46
CDC20	-5.612586919	1.33E-46
IGFBP6	10.17393523	3.38E-46
TLR4	5.142719877	7.50E-46
NFKBIA	5.004188476	8.62E-46
LOC102406887	-9.959898188	1.69E-45
CDK1	-4.82392087	4.66E-45
PGF	-6.713975459	4.62E-45
LOC102405681	-6.569483383	1.04E-44
KLF5	5.856188513	1.34E-44
KNTC1	-6.108058752	1.76E-44
